4.8566 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.9104 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
19.4822 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002705158DE80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027054991250>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.4825 	EXP 	window1: mouseVisible = True
19.4827 	EXP 	window1: mouseVisible = False
19.4828 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.4828 	EXP 	window1: recordFrameIntervals = False
19.6469 	EXP 	window1: recordFrameIntervals = True
19.8306 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
19.8307 	EXP 	window1: recordFrameIntervals = False
22.8141 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
22.8318 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
22.8443 	EXP 	Imported C:/Users/debol/Desktop/conditions.xlsx as conditions, 1 conditions, 5 params
23.1721 	EXP 	window1: recordFrameIntervals = False
23.1763 	EXP 	window1: recordFrameIntervals = False
24.1748 	EXP 	fixation: autoDraw = True
24.9385 	EXP 	grating: autoDraw = True
24.9385 	EXP 	grating: tex = 'sin'
25.1790 	EXP 	fixation: autoDraw = False
25.2457 	EXP 	grating: autoDraw = False
25.4630 	DATA 	Keypress: left
25.4700 	EXP 	window1: recordFrameIntervals = False
25.4789 	EXP 	fixation: autoDraw = False
25.4789 	EXP 	grating: autoDraw = False
25.4792 	EXP 	window1: recordFrameIntervals = False
26.4665 	EXP 	fixation: autoDraw = True
27.4790 	EXP 	fixation: autoDraw = False
27.4790 	EXP 	grating: autoDraw = True
27.4790 	EXP 	grating: tex = 'sin'
27.7788 	EXP 	grating: autoDraw = False
27.8496 	EXP 	window1: recordFrameIntervals = False
27.8517 	DATA 	Keypress: left
27.8623 	EXP 	fixation: autoDraw = False
27.8623 	EXP 	grating: autoDraw = False
27.8626 	EXP 	window1: recordFrameIntervals = False
28.8456 	EXP 	fixation: autoDraw = True
29.8453 	EXP 	fixation: autoDraw = False
29.8619 	EXP 	grating: autoDraw = True
29.8619 	EXP 	grating: tex = 'sin'
30.1618 	EXP 	grating: autoDraw = False
30.2161 	EXP 	window1: recordFrameIntervals = False
30.2183 	DATA 	Keypress: left
30.2287 	EXP 	fixation: autoDraw = False
30.2287 	EXP 	grating: autoDraw = False
30.2291 	EXP 	window1: recordFrameIntervals = False
31.2087 	EXP 	fixation: autoDraw = True
32.2114 	EXP 	fixation: autoDraw = False
32.2282 	EXP 	grating: autoDraw = True
32.2282 	EXP 	grating: tex = 'sin'
32.5282 	EXP 	grating: autoDraw = False
32.6151 	DATA 	Keypress: left
32.6323 	EXP 	window1: recordFrameIntervals = False
32.6449 	EXP 	fixation: autoDraw = False
32.6449 	EXP 	grating: autoDraw = False
32.6453 	EXP 	window1: recordFrameIntervals = False
33.6244 	EXP 	fixation: autoDraw = True
34.6279 	EXP 	fixation: autoDraw = False
34.6446 	EXP 	grating: autoDraw = True
34.6446 	EXP 	grating: tex = 'sin'
34.9443 	EXP 	grating: autoDraw = False
34.9823 	EXP 	window1: recordFrameIntervals = False
34.9843 	DATA 	Keypress: right
34.9945 	EXP 	fixation: autoDraw = False
34.9945 	EXP 	grating: autoDraw = False
34.9949 	EXP 	window1: recordFrameIntervals = False
35.9737 	EXP 	fixation: autoDraw = True
36.9775 	EXP 	fixation: autoDraw = False
37.0052 	EXP 	grating: autoDraw = True
37.0052 	EXP 	grating: tex = 'sin'
37.2985 	EXP 	window1: recordFrameIntervals = False
37.3005 	DATA 	Keypress: right
37.3108 	EXP 	grating: autoDraw = False
37.3108 	EXP 	fixation: autoDraw = False
37.3108 	EXP 	grating: autoDraw = False
37.3112 	EXP 	window1: recordFrameIntervals = False
38.2918 	EXP 	fixation: autoDraw = True
39.2939 	EXP 	fixation: autoDraw = False
39.3108 	EXP 	grating: autoDraw = True
39.3108 	EXP 	grating: tex = 'sin'
39.6105 	EXP 	grating: autoDraw = False
39.7148 	EXP 	window1: recordFrameIntervals = False
39.7171 	DATA 	Keypress: left
39.7272 	EXP 	fixation: autoDraw = False
39.7272 	EXP 	grating: autoDraw = False
39.7276 	EXP 	window1: recordFrameIntervals = False
40.7070 	EXP 	fixation: autoDraw = True
41.7102 	EXP 	fixation: autoDraw = False
41.7274 	EXP 	grating: autoDraw = True
41.7274 	EXP 	grating: tex = 'sin'
42.0270 	EXP 	grating: autoDraw = False
42.0645 	EXP 	window1: recordFrameIntervals = False
42.0666 	DATA 	Keypress: left
42.0767 	EXP 	fixation: autoDraw = False
42.0767 	EXP 	grating: autoDraw = False
42.0771 	EXP 	window1: recordFrameIntervals = False
43.0575 	EXP 	fixation: autoDraw = True
44.0601 	EXP 	fixation: autoDraw = False
44.0769 	EXP 	grating: autoDraw = True
44.0769 	EXP 	grating: tex = 'sin'
44.3767 	EXP 	grating: autoDraw = False
44.4307 	EXP 	window1: recordFrameIntervals = False
44.4329 	DATA 	Keypress: left
44.4432 	EXP 	fixation: autoDraw = False
44.4432 	EXP 	grating: autoDraw = False
44.4436 	EXP 	window1: recordFrameIntervals = False
45.4230 	EXP 	fixation: autoDraw = True
46.4266 	EXP 	fixation: autoDraw = False
46.4433 	EXP 	grating: autoDraw = True
46.4433 	EXP 	grating: tex = 'sin'
46.7429 	EXP 	grating: autoDraw = False
46.7968 	EXP 	window1: recordFrameIntervals = False
46.7989 	DATA 	Keypress: left
46.8095 	EXP 	fixation: autoDraw = False
46.8095 	EXP 	grating: autoDraw = False
46.8098 	EXP 	window1: recordFrameIntervals = False
47.7894 	EXP 	fixation: autoDraw = True
48.7926 	EXP 	fixation: autoDraw = False
48.8095 	EXP 	grating: autoDraw = True
48.8095 	EXP 	grating: tex = 'sin'
49.1093 	EXP 	grating: autoDraw = False
49.2957 	DATA 	Keypress: right
49.3031 	EXP 	window1: recordFrameIntervals = False
49.3091 	EXP 	fixation: autoDraw = False
49.3091 	EXP 	grating: autoDraw = False
49.3096 	EXP 	window1: recordFrameIntervals = False
50.2963 	EXP 	fixation: autoDraw = True
51.3090 	EXP 	fixation: autoDraw = False
51.3090 	EXP 	grating: autoDraw = True
51.3090 	EXP 	grating: tex = 'sin'
51.6088 	EXP 	grating: autoDraw = False
51.6289 	EXP 	window1: recordFrameIntervals = False
51.6310 	DATA 	Keypress: left
51.6422 	EXP 	fixation: autoDraw = False
51.6422 	EXP 	grating: autoDraw = False
51.6425 	EXP 	window1: recordFrameIntervals = False
52.6225 	EXP 	fixation: autoDraw = True
53.6254 	EXP 	fixation: autoDraw = False
53.6423 	EXP 	grating: autoDraw = True
53.6423 	EXP 	grating: tex = 'sin'
53.9420 	EXP 	grating: autoDraw = False
54.0627 	EXP 	window1: recordFrameIntervals = False
54.0650 	DATA 	Keypress: right
54.0753 	EXP 	fixation: autoDraw = False
54.0753 	EXP 	grating: autoDraw = False
54.0757 	EXP 	window1: recordFrameIntervals = False
55.0602 	EXP 	fixation: autoDraw = True
56.0754 	EXP 	fixation: autoDraw = False
56.0754 	EXP 	grating: autoDraw = True
56.0754 	EXP 	grating: tex = 'sin'
56.3750 	EXP 	grating: autoDraw = False
56.4627 	EXP 	window1: recordFrameIntervals = False
56.4649 	DATA 	Keypress: right
56.4751 	EXP 	fixation: autoDraw = False
56.4751 	EXP 	grating: autoDraw = False
56.4754 	EXP 	window1: recordFrameIntervals = False
57.4583 	EXP 	fixation: autoDraw = True
58.4580 	EXP 	fixation: autoDraw = False
58.4749 	EXP 	grating: autoDraw = True
58.4749 	EXP 	grating: tex = 'sin'
58.7747 	EXP 	grating: autoDraw = False
58.9457 	EXP 	window1: recordFrameIntervals = False
58.9479 	DATA 	Keypress: left
